Do you consent to participate in this study?,"Section 1: Core Focus
Q1. On average, how long can you stay focused on a single task before getting distracted?",Q2. What distracts you most often during the day? (Select up to 3. If 'Other' please specify.),Q3. How often do you feel frustrated because you can’t stay focused long enough to finish important tasks?,"

Section 2: Cross-Over Questions

Q4. How often do you feel tired or drained even on days when you haven’t worked very hard?",Q5. How often do you feel busy all day but accomplish little of real importance?,"Section 3: Values Alignment
Q6. To what extent do you feel your daily tasks align with your personal values?","Q7. When your work or activities reflect your values, how does it affect your focus?","Section 4: Coping & Behaviors
Q8. Which strategies do you currently use to manage distractions? (Select all that apply)","Section 5: Open Reflection
Q9. If you could change one thing to improve your ability to focus, what would it be? (Open text)",Q10. What’s one word that best describes how you feel when you lose focus? (Open text),"Section 6: Demographics
Q11. What is your age?",Q12. What is your gender?,Q13. What is your current employment status?,Q14. Which country/region do you live in?,"

Q15. Do you feel confident you could clearly name your top 3 personal values?","Q16a. Please try listing up to 3 values that are most important to you. Don't worry if you’re not sure, just write what comes to mind.",Q16b. Please list a second personal value (Value 2 – optional),Q16c. Please list a third personal value (Value 3 – optional)
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Internal thoughts/worries",Often,Sometimes,Often,Somewhat aligned,I feel much more focused and energized,"Working in quiet spaces, Aligning tasks with personal priorities or values",turn off phone,dissapointed,35 - 44,Male,Self-employed,New Zealand,Yes definitely,Integrity,Dedication,Freedom
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Social media scrolling",Often,Often,Often,Somewhat misaligned,I feel much more focused and energized,"Silencing notifications, Taking breaks / exercise",Be able to not go on my phone and focus on one task,Frustrated ,25 - 34,Female,Employed full-time,United Kingdom,Somewhat,Honesty,Integrity ,Strength 
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Multitasking / switching tasks",Rarely,Sometimes,Rarely,Neutral,I feel somewhat more focused,"Silencing notifications, Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",meditating or having a brief pause / reflection before focusing ,agitated,35 - 44,Male,Employed full-time,England,Not really,"self development, family focused",,
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Social media scrolling",Sometimes,Sometimes,Rarely,Neutral,No noticeable difference,"Silencing notifications, Taking breaks / exercise",Having a job I truly enjoyed,Frustrated,25 - 34,Male,Employed full-time,Scotland,Not really,Truth,Integrity,Family
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Multitasking / switching tasks",Often,Sometimes,Rarely,Somewhat aligned,I feel much more focused and energized,Working in quiet spaces,Priorotise what needs to be done rather than trying to do all of it as quickly as possible.,Disheartened ,35 - 44,Female,Employed full-time,Northern Ireland,Somewhat,Equality,Honesty,Reliability
"Yes, I consent",More than 30 minutes,"Social media scrolling, Background noise / environment, Internal thoughts/worries",Sometimes,Often,Sometimes,Somewhat aligned,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Not spend so much time distracted by gadgets.,Frustrated,45 - 54,Female,Other,UK,Somewhat,"Faith, ",Love,
"Yes, I consent",11–20 minutes,"Smartphone notifications, Social media scrolling, Background noise / environment",Sometimes,Sometimes,Often,Neutral,No noticeable difference,"Silencing notifications, Taking breaks / exercise",Being able to work in a quieter area.,Stress,25 - 34,Female,Employed full-time,UK,Somewhat,Compassion,Authentic,Respect
"Yes, I consent",11–20 minutes,"Multitasking / switching tasks, Colleagues, family, or friends",Sometimes,Sometimes,Rarely,Somewhat aligned,I feel somewhat more focused,Taking breaks / exercise,Close the door to my home office more often,Frustrated,45 - 54,Male,Employed part-time,England,Somewhat,Commitment,Integrity,Service
"Yes, I consent",21–30 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Sometimes,Often,Often,Not aligned at all,I feel somewhat more focused,"Silencing notifications, Scheduling focus time / using timers, Working in quiet spaces",To not feel so guilty when i don’t achieve a planned task,guilty,35 - 44,Female,Employed full-time,Uk,Not really,"Respect, loyalty, compassion",,
"Yes, I consent",21–30 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",I would use my phone less,Disapointed,18 - 24,Female,Employed full-time,United Kingdom,Not really,Compassion,Kindness,Loyalty
