Do you consent to participate in this study?,"Section 1: Core Focus
Q1. On average, how long can you stay focused on a single task before getting distracted?",Q2. What distracts you most often during the day? (Select up to 3. If 'Other' please specify.),Q3. How often do you feel frustrated because you canâ€™t stay focused long enough to finish important tasks?,Q4 How often do you feel drained even on days you havent worked,Q5. How often do you feel busy all day but accomplish little of real importance?,"Section 3: Values Alignment
Q6. To what extent do you feel your daily tasks align with your personal values?","Q7. When your work or activities reflect your values, how does it affect your focus?","Section 4: Coping & Behaviors
Q8. Which strategies do you currently use to manage distractions? (Select all that apply)","Section 5: Open Reflection
Q9. If you could change one thing to improve your ability to focus, what would it be? (Open text)",Q10. Whatâ€™s one word that best describes how you feel when you lose focus? (Open text),"Section 6: Demographics
Q11. What is your age?",Q12. What is your gender?,Q13. What is your current employment status?,Q14. Which country/region do you live in?,Q15 Do you feel confident you could name your top 3 values,"Q16a. Please try listing up to 3 values that are most important to you. Don't worry if youâ€™re not sure, just write what comes to mind.",Q16b. Please list a second personal value (Value 2 â€“ optional),Q16c. Please list a third personal value (Value 3 â€“ optional),Started at,Completed at,Reviewed at,Archived at,Time taken,Age,Sex,Ethnicity simplified,Country of residence,Nationality,Language,Employment status
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Social media scrolling",Often,Often,Often,Somewhat misaligned,I feel much more focused and energized,"Silencing notifications, Taking breaks / exercise",Be able to not go on my phone and focus on one task,Frustrated ,25 - 34,Female,Employed full-time,United Kingdom,Somewhat,Honesty,Integrity ,Strength ,2025-09-03T09:05:52.735000Z,2025-09-03T09:08:31.492000Z,,2025-09-03T09:08:31.882513Z,159,28,Female,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Multitasking / switching tasks",Rarely,Sometimes,Rarely,Neutral,I feel somewhat more focused,"Silencing notifications, Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",meditating or having a brief pause / reflection before focusing ,agitated,35 - 44,Male,Employed full-time,England,Not really,"self development, family focused",,,2025-09-03T09:05:40.475000Z,2025-09-03T09:08:38.295000Z,,2025-09-03T09:08:38.675229Z,178,36,Male,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Social media scrolling",Sometimes,Sometimes,Rarely,Neutral,No noticeable difference,"Silencing notifications, Taking breaks / exercise",Having a job I truly enjoyed,Frustrated,25 - 34,Male,Employed full-time,Scotland,Not really,Truth,Integrity,Family,2025-09-03T09:08:21.855000Z,2025-09-03T09:10:28.826000Z,,2025-09-03T09:10:29.204856Z,127,31,Male,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Multitasking / switching tasks",Often,Sometimes,Rarely,Somewhat aligned,I feel much more focused and energized,Working in quiet spaces,Priorotise what needs to be done rather than trying to do all of it as quickly as possible.,Disheartened ,35 - 44,Female,Employed full-time,Northern Ireland,Somewhat,Equality,Honesty,Reliability,2025-09-03T09:08:18.771000Z,2025-09-03T09:10:33.515000Z,,2025-09-03T09:10:33.902538Z,135,37,Female,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",More than 30 minutes,"Social media scrolling, Background noise / environment, Internal thoughts/worries",Sometimes,Often,Sometimes,Somewhat aligned,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Not spend so much time distracted by gadgets.,Frustrated,45 - 54,Female,Other,UK,Somewhat,"Faith, ",Love,,2025-09-03T09:08:20.533000Z,2025-09-03T09:10:40.164000Z,,2025-09-03T09:10:40.524837Z,140,48,Female,White,United Kingdom,United Kingdom,English,"Not in paid work (e.g. homemaker', 'retired or disabled)"
"Yes, I consent",11â€“20 minutes,"Smartphone notifications, Social media scrolling, Background noise / environment",Sometimes,Sometimes,Often,Neutral,No noticeable difference,"Silencing notifications, Taking breaks / exercise",Being able to work in a quieter area.,Stress,25 - 34,Female,Employed full-time,UK,Somewhat,Compassion,Authentic,Respect,2025-09-03T09:07:28.448000Z,2025-09-03T09:11:03.933000Z,,2025-09-03T09:11:04.333959Z,216,30,Female,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",11â€“20 minutes,"Multitasking / switching tasks, Colleagues, family, or friends",Sometimes,Sometimes,Rarely,Somewhat aligned,I feel somewhat more focused,Taking breaks / exercise,Close the door to my home office more often,Frustrated,45 - 54,Male,Employed part-time,England,Somewhat,Commitment,Integrity,Service,2025-09-03T09:08:44.081000Z,2025-09-03T09:10:50.746000Z,,2025-09-03T09:10:51.125875Z,127,48,Male,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",21â€“30 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Sometimes,Often,Often,Not aligned at all,I feel somewhat more focused,"Silencing notifications, Scheduling focus time / using timers, Working in quiet spaces",To not feel so guilty when i donâ€™t achieve a planned task,guilty,35 - 44,Female,Employed full-time,Uk,Not really,"Respect, loyalty, compassion",,,2025-09-03T09:07:01.089000Z,2025-09-03T09:11:12.761000Z,,2025-09-03T09:11:13.165833Z,252,42,Female,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",21â€“30 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",I would use my phone less,Disapointed,18 - 24,Female,Employed full-time,United Kingdom,Not really,Compassion,Kindness,Loyalty,2025-09-03T09:08:58.563000Z,2025-09-03T09:11:03.315000Z,,2025-09-03T09:11:03.707684Z,125,23,Female,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",11â€“20 minutes,"Email or messaging apps, Social media scrolling, Multitasking / switching tasks",Rarely,Sometimes,Rarely,Somewhat aligned,I feel somewhat more focused,Taking breaks / exercise,"Probably be to close certain windows, such as emails and browser games",Untroubled,45 - 54,Male,Self-employed,UK - England,Not really,intelligence,honesty,security,2025-09-03T09:09:10.610000Z,2025-09-03T09:11:26.865000Z,,2025-09-03T09:11:27.217307Z,137,52,Male,White,United Kingdom,United Kingdom,English,Full-Time
